mine_id,mine_name,latitude,longitude,elevation_m,slope_degrees,aspect_degrees,terrain_ruggedness_index,data_source
67,Mine_00067,8.388128,78.890887,473.87,2.85,199.44,1.58,synthetic_srtm
68,Mine_00068,11.165108,77.746765,2074.75,25.61,41.86,10.19,synthetic_srtm
69,Mine_00069,11.442668,79.691921,290.18,3.67,353.84,2.98,synthetic_srtm
70,Mine_00070,9.18024,77.697666,386.22,11.37,312.84,6.16,synthetic_srtm
71,Mine_00071,9.754366,79.801939,490.83,13.21,259.95,5.95,synthetic_srtm
72,Mine_00072,11.832054,78.830243,908.07,9.39,89.81,3.6,synthetic_srtm
73,Mine_00073,8.975917,79.377766,511.71,21.66,79.36,7.04,synthetic_srtm
74,Mine_00074,9.37509,78.612448,903.13,7.03,41.3,4.9,synthetic_srtm
75,Mine_00075,12.149986,76.464057,721.69,21.81,190.85,7.87,synthetic_srtm
76,Mine_00076,9.760273,80.029855,855.1,5.27,243.52,3.29,synthetic_srtm
77,Mine_00077,8.502077,77.436911,553.04,10.07,16.25,3.58,synthetic_srtm
78,Mine_00078,11.475105,78.018005,394.8,13.81,88.95,4.72,synthetic_srtm
79,Mine_00079,12.13806,79.562106,297.05,12.75,278.65,8.21,synthetic_srtm
80,Mine_00080,13.477622,76.25142,1173.2,18.3,249.66,9.55,synthetic_srtm
81,Mine_00081,13.327586,79.096135,350.35,9.4,340.43,6.22,synthetic_srtm
82,Mine_00082,11.85533,76.327434,733.85,22.67,186.08,11.62,synthetic_srtm
83,Mine_00083,8.466607,80.439878,521.23,24.17,163.75,8.23,synthetic_srtm
84,Mine_00084,13.209867,80.437005,418.42,8.05,210.15,7.04,synthetic_srtm
85,Mine_00085,12.274308,78.512819,355.07,4.75,208.58,4.02,synthetic_srtm
86,Mine_00086,9.395252,77.823409,442.93,0.53,333.02,1.35,synthetic_srtm
87,Mine_00087,12.093164,79.064677,312.16,6.85,358.44,4.78,synthetic_srtm
88,Mine_00088,13.297724,76.054695,1320.51,44.67,298.0,16.4,synthetic_srtm
89,Mine_00089,13.085538,80.136021,924.64,17.35,190.14,7.84,synthetic_srtm
90,Mine_00090,8.914185,76.975641,894.74,7.32,316.88,5.25,synthetic_srtm
91,Mine_00091,10.11311,79.316953,535.82,9.81,26.97,3.12,synthetic_srtm
92,Mine_00092,10.16987,76.480402,637.87,13.02,212.95,8.5,synthetic_srtm
93,Mine_00093,9.943437,78.626453,266.95,14.26,266.71,6.97,synthetic_srtm
94,Mine_00094,8.177738,77.258936,660.06,12.01,308.79,5.92,synthetic_srtm
95,Mine_00095,13.0101,79.701418,652.3,12.88,172.16,5.95,synthetic_srtm
96,Mine_00096,10.300337,80.197278,994.48,20.29,30.74,6.14,synthetic_srtm
97,Mine_00097,10.070549,79.64749,832.17,10.18,12.64,3.25,synthetic_srtm
98,Mine_00098,10.161442,79.731239,606.29,13.55,72.98,8.67,synthetic_srtm
99,Mine_00099,8.736187,76.061524,1046.89,39.54,324.21,13.42,synthetic_srtm
100,Mine_00100,13.481503,78.499443,571.73,5.06,123.21,4.06,synthetic_srtm
101,Mine_00101,9.360415,78.027449,376.53,8.29,281.6,3.26,synthetic_srtm
102,Mine_00102,9.257535,79.022653,465.56,5.84,21.48,4.46,synthetic_srtm
103,Mine_00103,10.739909,78.142948,892.79,8.75,95.14,5.13,synthetic_srtm
104,Mine_00104,13.323856,76.397837,1437.23,18.86,318.95,5.74,synthetic_srtm
105,Mine_00105,12.315675,78.877126,753.61,6.62,20.29,5.18,synthetic_srtm
106,Mine_00106,13.392545,78.736395,632.82,23.92,127.82,9.15,synthetic_srtm
107,Mine_00107,11.995184,78.463508,741.47,11.06,111.62,5.08,synthetic_srtm
108,Mine_00108,10.879813,79.139388,665.44,16.53,215.28,7.3,synthetic_srtm
109,Mine_00109,9.420344,78.066111,285.15,11.07,97.34,6.12,synthetic_srtm
110,Mine_00110,11.483705,77.080655,2218.28,26.44,26.52,12.51,synthetic_srtm
111,Mine_00111,8.835465,76.624722,1566.49,24.09,221.88,8.64,synthetic_srtm
112,Mine_00112,12.932336,78.132827,691.87,9.55,271.5,5.24,synthetic_srtm
113,Mine_00113,8.929143,77.253657,567.54,10.39,213.49,4.44,synthetic_srtm
114,Mine_00114,12.918195,76.579368,1622.17,44.35,182.9,15.42,synthetic_srtm
115,Mine_00115,11.453452,76.367916,1404.98,21.07,290.6,7.01,synthetic_srtm
116,Mine_00116,12.775656,76.380327,665.87,7.49,105.91,4.33,synthetic_srtm
117,Mine_00117,13.08223,77.062524,1059.74,37.89,132.17,15.72,synthetic_srtm
118,Mine_00118,8.812565,76.599026,604.36,16.23,330.31,7.2,synthetic_srtm
119,Mine_00119,8.167597,79.902467,837.84,24.49,258.94,9.39,synthetic_srtm
120,Mine_00120,12.055729,76.820277,1319.21,23.49,338.39,11.54,synthetic_srtm
121,Mine_00121,10.944346,77.049474,813.82,24.93,21.2,12.4,synthetic_srtm
122,Mine_00122,11.568526,78.158119,449.86,14.95,274.35,9.4,synthetic_srtm
123,Mine_00123,11.225945,78.540063,433.4,4.88,181.82,3.93,synthetic_srtm
124,Mine_00124,11.341554,77.099589,1428.49,40.35,129.91,12.14,synthetic_srtm
125,Mine_00125,8.559804,76.687866,818.45,15.75,226.23,6.81,synthetic_srtm
126,Mine_00126,12.432257,76.250441,1634.59,28.93,196.36,10.09,synthetic_srtm
127,Mine_00127,11.833288,80.48765,874.54,8.13,11.77,7.25,synthetic_srtm
128,Mine_00128,8.02915,80.387802,964.65,5.24,351.04,2.6,synthetic_srtm
129,Mine_00129,10.942702,78.144788,421.31,11.86,35.69,7.0,synthetic_srtm
130,Mine_00130,11.910239,76.897781,888.46,9.19,279.36,5.98,synthetic_srtm
131,Mine_00131,12.222787,76.392806,1435.12,22.52,285.47,10.35,synthetic_srtm
132,Mine_00132,8.285029,77.514719,272.88,11.86,90.19,7.17,synthetic_srtm
133,Mine_00133,9.772946,79.644435,250.31,14.27,213.51,5.04,synthetic_srtm
134,Mine_00134,11.276013,78.122093,801.62,11.4,65.12,3.99,synthetic_srtm
135,Mine_00135,12.10286,77.838332,1225.34,35.7,144.29,11.22,synthetic_srtm
136,Mine_00136,13.095472,79.247184,498.66,3.53,242.16,4.82,synthetic_srtm
137,Mine_00137,8.900108,76.739196,758.64,11.86,275.34,3.6,synthetic_srtm
138,Mine_00138,9.973568,79.947402,368.27,3.89,26.1,5.14,synthetic_srtm
139,Mine_00139,12.948171,78.808457,866.13,19.57,80.15,6.51,synthetic_srtm
140,Mine_00140,9.954493,77.761669,299.8,0.88,120.11,3.65,synthetic_srtm
141,Mine_00141,10.985671,77.941877,547.48,24.42,120.49,11.99,synthetic_srtm
142,Mine_00142,8.917019,79.953831,556.13,15.95,282.64,5.08,synthetic_srtm
143,Mine_00143,13.487309,79.385814,229.23,0.93,328.2,4.81,synthetic_srtm
144,Mine_00144,11.134393,79.431064,957.37,13.78,232.43,8.21,synthetic_srtm
145,Mine_00145,10.083519,78.056501,482.67,8.11,119.91,2.57,synthetic_srtm
146,Mine_00146,10.674966,77.840298,810.77,12.36,34.7,6.22,synthetic_srtm
147,Mine_00147,11.110296,79.222806,383.54,3.1,60.06,4.89,synthetic_srtm
148,Mine_00148,11.208655,77.803831,1970.08,34.74,24.74,13.95,synthetic_srtm
149,Mine_00149,11.224264,78.276499,693.48,23.45,140.37,7.17,synthetic_srtm
150,Mine_00150,8.56217,80.134377,297.78,3.09,246.91,3.81,synthetic_srtm
151,Mine_00151,12.241857,77.684959,1508.01,27.22,265.76,10.24,synthetic_srtm
152,Mine_00152,12.622418,80.098088,576.32,19.87,70.14,9.25,synthetic_srtm
153,Mine_00153,9.024765,79.768709,636.8,9.08,350.0,5.34,synthetic_srtm
154,Mine_00154,11.343419,77.706876,2072.63,40.91,94.08,14.57,synthetic_srtm
155,Mine_00155,9.834245,77.791759,827.75,23.04,164.67,10.45,synthetic_srtm
156,Mine_00156,12.056257,78.034981,562.87,6.39,262.72,2.02,synthetic_srtm
157,Mine_00157,8.970128,78.242655,604.03,11.41,35.26,4.37,synthetic_srtm
158,Mine_00158,11.193236,78.845189,749.5,10.04,11.46,4.41,synthetic_srtm
159,Mine_00159,10.524439,78.507874,212.57,9.11,315.6,5.19,synthetic_srtm
160,Mine_00160,10.18525,77.92055,500.8,13.46,73.51,7.67,synthetic_srtm
161,Mine_00161,8.201023,78.124301,982.0,22.78,157.25,8.72,synthetic_srtm
162,Mine_00162,10.493089,78.359756,656.4,16.66,211.48,8.13,synthetic_srtm
163,Mine_00163,8.566398,77.504633,289.25,0.29,24.1,4.0,synthetic_srtm
164,Mine_00164,11.541997,77.839304,2068.46,39.25,23.09,16.39,synthetic_srtm
165,Mine_00165,9.220847,77.039837,524.44,5.28,75.86,2.7,synthetic_srtm
166,Mine_00166,12.881033,78.505247,908.88,14.84,84.41,8.22,synthetic_srtm
167,Mine_00167,11.317586,79.630826,306.89,3.0,201.28,4.36,synthetic_srtm
168,Mine_00168,10.235158,77.457955,993.56,9.78,196.46,7.28,synthetic_srtm
169,Mine_00169,12.664705,76.552496,623.03,15.15,359.67,5.1,synthetic_srtm
170,Mine_00170,13.008432,78.811426,396.59,1.22,227.39,0.5,synthetic_srtm
171,Mine_00171,8.188255,79.737945,966.05,17.94,9.1,8.93,synthetic_srtm
172,Mine_00172,12.735874,76.987797,674.67,19.35,261.13,7.51,synthetic_srtm
173,Mine_00173,13.41952,78.119795,522.14,16.4,43.06,6.21,synthetic_srtm
174,Mine_00174,10.978988,78.850652,382.3,6.34,190.57,4.91,synthetic_srtm
175,Mine_00175,13.414212,78.365606,416.06,0.43,261.64,3.45,synthetic_srtm
176,Mine_00176,13.028643,76.52988,641.08,8.53,106.88,5.0,synthetic_srtm
177,Mine_00177,11.582812,79.733838,392.38,4.35,286.42,4.07,synthetic_srtm
178,Mine_00178,12.806395,78.688359,749.66,21.15,11.25,10.01,synthetic_srtm
179,Mine_00179,13.029266,77.884467,1805.46,42.57,309.54,14.72,synthetic_srtm
180,Mine_00180,9.01404,76.406516,885.94,15.25,273.9,8.83,synthetic_srtm
181,Mine_00181,10.404564,80.119812,655.49,21.5,291.87,10.93,synthetic_srtm
182,Mine_00182,11.650191,80.215734,332.24,4.83,222.24,5.03,synthetic_srtm
183,Mine_00183,9.442452,78.677851,318.18,0.8,53.27,4.02,synthetic_srtm
184,Mine_00184,9.838341,79.469105,769.78,15.33,46.66,7.46,synthetic_srtm
185,Mine_00185,11.877091,78.692287,853.71,19.2,101.25,5.78,synthetic_srtm
186,Mine_00186,11.820831,77.224653,1004.78,43.82,123.26,16.17,synthetic_srtm
187,Mine_00187,13.045225,76.615684,582.74,7.99,262.34,6.52,synthetic_srtm
188,Mine_00188,10.980455,79.928256,427.35,0.94,285.41,4.29,synthetic_srtm
189,Mine_00189,11.807521,79.82138,550.65,6.53,37.56,2.39,synthetic_srtm
190,Mine_00190,8.283777,79.014629,817.27,18.48,58.16,6.61,synthetic_srtm
191,Mine_00191,11.123699,80.119697,487.82,13.42,302.86,4.79,synthetic_srtm
192,Mine_00192,13.084179,80.369762,848.37,22.81,79.04,9.79,synthetic_srtm
193,Mine_00193,9.755053,79.73012,509.5,22.48,292.75,8.49,synthetic_srtm
194,Mine_00194,8.663118,76.346289,531.02,6.37,305.82,4.23,synthetic_srtm
195,Mine_00195,8.35946,77.418807,544.62,21.86,243.29,7.3,synthetic_srtm
196,Mine_00196,11.442403,79.9869,462.65,6.26,86.34,3.3,synthetic_srtm
197,Mine_00197,12.785544,76.095712,971.24,7.17,315.93,3.37,synthetic_srtm
198,Mine_00198,8.385163,76.042684,1352.7,38.04,306.81,15.29,synthetic_srtm
199,Mine_00199,11.194165,77.222591,2158.06,41.44,358.98,16.89,synthetic_srtm
200,Mine_00200,12.056703,77.074497,1542.31,16.58,194.14,5.64,synthetic_srtm
201,Mine_00201,9.629695,77.051235,561.03,18.37,25.45,7.15,synthetic_srtm
202,Mine_00202,8.602072,77.762336,225.91,8.19,0.07,4.89,synthetic_srtm
203,Mine_00203,9.424405,78.648494,855.68,5.44,57.82,6.04,synthetic_srtm
204,Mine_00204,12.970482,80.451332,459.04,6.48,48.33,6.76,synthetic_srtm
205,Mine_00205,12.608042,77.037561,1543.71,39.34,354.49,14.11,synthetic_srtm
206,Mine_00206,10.112498,76.165294,535.33,18.51,246.69,8.54,synthetic_srtm
207,Mine_00207,13.330064,79.977036,433.92,13.04,139.63,7.73,synthetic_srtm
208,Mine_00208,10.179331,79.412073,412.38,6.5,119.59,4.98,synthetic_srtm
209,Mine_00209,11.426156,79.365422,720.98,18.45,213.45,7.58,synthetic_srtm
210,Mine_00210,12.826035,77.1952,1018.31,35.38,198.07,15.44,synthetic_srtm
211,Mine_00211,12.452338,78.948589,825.59,19.11,158.74,6.51,synthetic_srtm
212,Mine_00212,10.049787,77.168892,325.87,13.04,236.86,6.4,synthetic_srtm
213,Mine_00213,9.211008,79.074664,831.12,17.98,52.14,10.09,synthetic_srtm
214,Mine_00214,10.643226,78.665835,271.74,7.01,78.09,6.64,synthetic_srtm
215,Mine_00215,12.754711,79.302595,222.6,2.72,34.78,4.86,synthetic_srtm
216,Mine_00216,12.770118,79.187633,260.81,4.79,30.87,2.56,synthetic_srtm
217,Mine_00217,11.402363,79.387225,792.01,10.31,62.44,4.39,synthetic_srtm
218,Mine_00218,8.16086,79.716175,886.05,5.71,140.0,3.96,synthetic_srtm
219,Mine_00219,8.884179,79.680852,904.19,17.92,55.36,5.86,synthetic_srtm
220,Mine_00220,9.57871,78.776171,509.69,10.36,39.53,7.07,synthetic_srtm
221,Mine_00221,11.487031,78.429934,879.28,19.52,13.7,7.54,synthetic_srtm
222,Mine_00222,10.976966,80.333464,476.64,6.73,33.37,3.32,synthetic_srtm
223,Mine_00223,8.955644,79.468843,438.12,12.98,98.79,4.58,synthetic_srtm
224,Mine_00224,11.897146,78.131082,571.25,17.75,96.41,5.68,synthetic_srtm
225,Mine_00225,10.452771,78.914081,319.91,2.2,266.83,4.13,synthetic_srtm
226,Mine_00226,12.518321,77.673251,2300.12,17.99,285.35,9.57,synthetic_srtm
227,Mine_00227,9.504947,80.48706,477.25,9.23,26.39,3.76,synthetic_srtm
228,Mine_00228,12.371453,79.12157,406.63,7.3,59.61,2.63,synthetic_srtm
229,Mine_00229,11.599812,77.229668,1118.45,38.39,156.22,13.14,synthetic_srtm
230,Mine_00230,13.189888,77.888773,1630.69,43.79,246.37,16.78,synthetic_srtm
231,Mine_00231,9.715736,77.443342,475.41,0.17,288.12,3.98,synthetic_srtm
232,Mine_00232,12.774675,79.217158,946.86,22.05,184.51,7.21,synthetic_srtm
233,Mine_00233,8.875852,76.916656,942.51,10.44,308.74,7.0,synthetic_srtm
234,Mine_00234,8.09824,79.58559,463.56,8.92,308.35,3.11,synthetic_srtm
235,Mine_00235,9.020024,78.079438,436.61,8.06,186.98,6.7,synthetic_srtm
236,Mine_00236,10.366682,76.902361,1068.39,26.22,345.17,10.77,synthetic_srtm
237,Mine_00237,8.822694,78.090694,745.59,20.41,342.49,7.22,synthetic_srtm
238,Mine_00238,11.613411,79.406767,341.8,5.53,143.72,2.24,synthetic_srtm
239,Mine_00239,8.577116,77.089203,817.54,6.69,356.53,3.96,synthetic_srtm
240,Mine_00240,9.156923,77.557075,974.44,11.0,37.29,6.87,synthetic_srtm
241,Mine_00241,10.938332,79.971401,503.2,23.25,164.93,7.77,synthetic_srtm
242,Mine_00242,8.729937,78.553934,541.08,14.87,342.2,7.07,synthetic_srtm
243,Mine_00243,8.921154,76.470555,1626.54,25.42,173.57,12.43,synthetic_srtm
244,Mine_00244,13.149167,76.233871,1567.23,35.61,274.42,12.19,synthetic_srtm
245,Mine_00245,11.439176,79.525402,862.69,14.49,148.76,5.87,synthetic_srtm
246,Mine_00246,11.041508,78.688641,523.61,13.5,354.82,5.53,synthetic_srtm
247,Mine_00247,8.448965,76.271584,1047.65,24.78,311.56,7.53,synthetic_srtm
248,Mine_00248,9.809596,78.115822,441.23,7.62,325.38,3.57,synthetic_srtm
249,Mine_00249,8.240139,76.727526,1532.75,34.27,51.97,11.22,synthetic_srtm
250,Mine_00250,10.983632,78.219746,438.41,2.39,266.63,0.76,synthetic_srtm
251,Mine_00251,8.168589,77.159573,389.69,6.76,132.75,4.35,synthetic_srtm
252,Mine_00252,12.084886,77.91472,1292.92,19.87,204.4,10.6,synthetic_srtm
253,Mine_00253,8.220601,79.901642,645.0,16.92,119.47,7.23,synthetic_srtm
254,Mine_00254,11.334038,78.689756,854.59,9.19,10.31,3.63,synthetic_srtm
255,Mine_00255,9.5612,77.61618,244.55,5.76,212.42,3.66,synthetic_srtm
256,Mine_00256,9.296857,79.492001,553.15,11.79,62.67,3.73,synthetic_srtm
257,Mine_00257,10.050668,78.306768,415.94,14.34,46.92,7.39,synthetic_srtm
258,Mine_00258,8.535664,77.822594,210.53,12.42,188.57,4.86,synthetic_srtm
259,Mine_00259,8.523938,78.934555,646.11,7.91,299.77,3.96,synthetic_srtm
260,Mine_00260,12.254102,76.588931,1062.27,30.1,215.46,13.7,synthetic_srtm
261,Mine_00261,8.404232,76.763911,808.06,7.31,337.7,4.17,synthetic_srtm
262,Mine_00262,10.369881,77.119214,881.69,8.36,176.76,4.38,synthetic_srtm
263,Mine_00263,8.921906,76.165021,748.41,20.06,189.29,10.41,synthetic_srtm
264,Mine_00264,12.642937,79.625516,471.26,2.73,280.58,1.4,synthetic_srtm
265,Mine_00265,8.188033,80.440118,916.15,9.4,358.59,5.88,synthetic_srtm
266,Mine_00266,11.520016,77.011155,1915.03,40.14,110.5,16.04,synthetic_srtm
267,Mine_00267,11.215689,79.096935,859.16,10.33,45.0,7.53,synthetic_srtm
268,Mine_00268,8.095589,77.454088,265.13,7.86,103.64,2.81,synthetic_srtm
269,Mine_00269,9.884594,78.395102,490.47,5.34,192.24,6.15,synthetic_srtm
270,Mine_00270,11.703878,80.364604,308.27,0.92,125.48,4.09,synthetic_srtm
271,Mine_00271,12.774782,76.797174,1105.51,16.24,244.71,5.89,synthetic_srtm
272,Mine_00272,11.757864,78.237286,548.89,7.61,198.12,5.33,synthetic_srtm
273,Mine_00273,8.167129,80.189269,859.81,20.42,132.84,7.81,synthetic_srtm
274,Mine_00274,11.62387,77.77239,2231.37,16.18,206.06,5.03,synthetic_srtm
275,Mine_00275,13.496775,76.216954,552.23,17.38,347.26,6.53,synthetic_srtm
276,Mine_00276,12.30312,78.551573,257.95,8.99,306.1,7.31,synthetic_srtm
277,Mine_00277,9.798682,79.00417,402.67,12.96,249.72,8.56,synthetic_srtm
278,Mine_00278,10.395708,79.680254,886.86,9.13,193.68,4.33,synthetic_srtm
279,Mine_00279,11.354075,78.535475,500.06,20.3,10.09,9.53,synthetic_srtm
280,Mine_00280,11.001278,77.999888,2069.0,30.63,270.12,11.26,synthetic_srtm
281,Mine_00281,11.534168,79.417049,646.51,21.55,308.94,9.07,synthetic_srtm
282,Mine_00282,12.65942,80.114064,511.12,23.29,36.77,10.58,synthetic_srtm
283,Mine_00283,10.934814,78.735573,643.16,8.67,141.93,3.82,synthetic_srtm
284,Mine_00284,13.25538,76.082047,766.53,8.46,290.7,5.78,synthetic_srtm
285,Mine_00285,13.25063,78.946119,782.26,17.53,115.69,7.74,synthetic_srtm
286,Mine_00286,9.070071,76.748492,1291.56,31.09,50.19,11.49,synthetic_srtm
287,Mine_00287,13.112832,78.395171,546.76,10.87,320.28,7.2,synthetic_srtm
288,Mine_00288,10.199479,80.395264,830.05,17.38,325.88,7.03,synthetic_srtm
289,Mine_00289,10.888399,79.190708,462.45,14.12,197.32,6.2,synthetic_srtm
290,Mine_00290,10.334901,76.391675,1465.73,32.44,290.38,13.2,synthetic_srtm
291,Mine_00291,13.232718,78.707253,540.24,5.5,138.47,4.57,synthetic_srtm
292,Mine_00292,10.260657,79.779376,206.73,12.47,7.45,4.81,synthetic_srtm
293,Mine_00293,12.29289,77.236627,1482.88,40.5,341.44,16.88,synthetic_srtm
294,Mine_00294,8.525444,78.807367,251.88,3.02,192.31,1.11,synthetic_srtm
295,Mine_00295,12.052806,79.882587,782.32,24.1,291.9,9.7,synthetic_srtm
296,Mine_00296,11.339017,78.460138,681.49,12.82,47.52,7.18,synthetic_srtm
297,Mine_00297,10.732218,80.445035,377.41,5.27,103.06,2.96,synthetic_srtm
298,Mine_00298,10.355098,79.22919,732.42,6.26,318.2,3.53,synthetic_srtm
299,Mine_00299,8.572603,79.259525,639.43,5.55,279.65,3.06,synthetic_srtm
300,Mine_00300,8.47112,80.023859,690.96,20.49,272.55,8.9,synthetic_srtm
301,Mine_00301,9.95248,76.312407,1478.38,35.79,102.83,12.73,synthetic_srtm
302,Mine_00302,9.285416,78.430054,484.61,1.95,79.36,1.51,synthetic_srtm
303,Mine_00303,9.783836,77.498509,443.26,13.86,211.93,7.7,synthetic_srtm
304,Mine_00304,11.067809,79.287927,540.39,5.97,21.84,3.87,synthetic_srtm
305,Mine_00305,13.289162,78.85732,545.13,20.84,80.61,7.07,synthetic_srtm
306,Mine_00306,10.32479,79.698129,950.91,22.5,81.51,10.55,synthetic_srtm
307,Mine_00307,10.611876,77.721368,886.35,5.12,254.03,4.28,synthetic_srtm
308,Mine_00308,12.227299,77.096455,1787.74,24.25,202.82,8.11,synthetic_srtm
309,Mine_00309,12.755774,78.738189,843.2,12.42,268.34,5.95,synthetic_srtm
310,Mine_00310,8.64707,77.023108,497.46,6.35,240.51,2.97,synthetic_srtm
311,Mine_00311,9.314804,78.293759,585.42,16.16,227.88,7.07,synthetic_srtm
312,Mine_00312,12.803352,76.727939,746.18,17.76,111.32,8.11,synthetic_srtm
313,Mine_00313,9.146808,80.187678,295.5,12.89,315.93,5.83,synthetic_srtm
314,Mine_00314,12.828859,79.906255,689.6,14.95,288.23,6.08,synthetic_srtm
