mine_id,mine_name,mineral_type,rock_stability_index,fracture_density,weathering_index,joint_spacing_m,ucs_mpa,data_source
74,Mine_00074,Granite,0.949,0.356,0.31,1.24,74.36,synthetic_geological_survey
75,Mine_00075,Marble,0.728,0.34,0.771,3.49,173.05,synthetic_geological_survey
76,Mine_00076,Granite,0.856,0.321,0.454,3.82,156.85,synthetic_geological_survey
77,Mine_00077,Marble,0.789,0.368,0.782,2.42,32.57,synthetic_geological_survey
78,Mine_00078,Sand,0.298,0.796,0.597,3.89,179.93,synthetic_geological_survey
79,Mine_00079,Marble,0.816,0.381,0.653,5.0,193.37,synthetic_geological_survey
80,Mine_00080,Sandstone,0.546,0.655,0.652,0.55,67.71,synthetic_geological_survey
81,Mine_00081,Sand,0.276,0.737,0.693,3.34,145.55,synthetic_geological_survey
82,Mine_00082,Granite,0.807,0.303,0.635,4.34,23.42,synthetic_geological_survey
83,Mine_00083,Iron Ore,0.781,0.446,0.717,0.57,117.93,synthetic_geological_survey
84,Mine_00084,Sandstone,0.503,0.604,0.372,3.51,112.01,synthetic_geological_survey
85,Mine_00085,Marble,0.709,0.331,0.699,2.7,58.14,synthetic_geological_survey
86,Mine_00086,Limestone,0.559,0.466,0.477,3.5,131.16,synthetic_geological_survey
87,Mine_00087,Marble,0.735,0.343,0.349,0.93,108.28,synthetic_geological_survey
88,Mine_00088,Granite,0.656,0.246,0.421,3.57,42.17,synthetic_geological_survey
89,Mine_00089,Sandstone,0.425,0.51,0.627,4.67,94.33,synthetic_geological_survey
90,Mine_00090,Iron Ore,0.625,0.357,0.269,1.12,93.97,synthetic_geological_survey
91,Mine_00091,Sand,0.355,0.947,0.618,0.88,188.23,synthetic_geological_survey
92,Mine_00092,Marble,0.803,0.375,0.609,1.25,26.1,synthetic_geological_survey
93,Mine_00093,Limestone,0.554,0.462,0.434,3.42,140.98,synthetic_geological_survey
94,Mine_00094,Granite,0.86,0.323,0.742,0.89,126.91,synthetic_geological_survey
95,Mine_00095,Sandstone,0.432,0.519,0.465,4.1,163.73,synthetic_geological_survey
96,Mine_00096,Iron Ore,0.772,0.441,0.567,0.55,35.24,synthetic_geological_survey
97,Mine_00097,Iron Ore,0.68,0.388,0.232,3.24,47.32,synthetic_geological_survey
98,Mine_00098,Granite,0.656,0.246,0.791,0.93,106.73,synthetic_geological_survey
99,Mine_00099,Sandstone,0.435,0.522,0.286,4.64,65.62,synthetic_geological_survey
100,Mine_00100,Marble,0.869,0.406,0.635,3.89,25.76,synthetic_geological_survey
101,Mine_00101,Sandstone,0.47,0.564,0.467,1.73,184.74,synthetic_geological_survey
102,Mine_00102,Granite,0.873,0.327,0.224,0.54,182.89,synthetic_geological_survey
103,Mine_00103,Marble,0.777,0.363,0.678,3.05,58.43,synthetic_geological_survey
104,Mine_00104,Iron Ore,0.748,0.427,0.547,2.01,104.35,synthetic_geological_survey
105,Mine_00105,Salt,0.823,0.183,0.569,3.85,169.99,synthetic_geological_survey
106,Mine_00106,Iron Ore,0.6,0.343,0.648,2.22,64.71,synthetic_geological_survey
107,Mine_00107,Silica Sand,0.356,0.624,0.605,4.87,171.48,synthetic_geological_survey
108,Mine_00108,Salt,0.949,0.211,0.558,4.64,61.57,synthetic_geological_survey
109,Mine_00109,Limestone,0.483,0.402,0.307,3.6,86.12,synthetic_geological_survey
110,Mine_00110,Silica Sand,0.446,0.78,0.692,4.82,157.62,synthetic_geological_survey
111,Mine_00111,Sand,0.32,0.854,0.762,3.75,145.08,synthetic_geological_survey
112,Mine_00112,Marble,0.824,0.385,0.461,4.02,41.91,synthetic_geological_survey
113,Mine_00113,Sandstone,0.577,0.692,0.799,4.93,196.69,synthetic_geological_survey
114,Mine_00114,Granite,0.744,0.279,0.606,2.17,29.61,synthetic_geological_survey
115,Mine_00115,Iron Ore,0.687,0.393,0.687,0.71,60.88,synthetic_geological_survey
116,Mine_00116,Sand,0.335,0.894,0.626,1.03,192.97,synthetic_geological_survey
117,Mine_00117,Sandstone,0.451,0.541,0.747,0.79,63.34,synthetic_geological_survey
118,Mine_00118,Salt,1.07,0.238,0.547,3.8,184.27,synthetic_geological_survey
119,Mine_00119,Sand,0.265,0.705,0.562,4.24,76.65,synthetic_geological_survey
120,Mine_00120,Iron Ore,0.766,0.438,0.469,1.18,101.92,synthetic_geological_survey
121,Mine_00121,Granite,0.697,0.261,0.614,1.31,155.72,synthetic_geological_survey
122,Mine_00122,Marble,0.683,0.319,0.57,2.56,32.54,synthetic_geological_survey
123,Mine_00123,Sand,0.286,0.762,0.205,1.1,161.13,synthetic_geological_survey
124,Mine_00124,Granite,0.866,0.325,0.78,2.51,60.74,synthetic_geological_survey
125,Mine_00125,Silica Sand,0.388,0.678,0.236,4.6,78.41,synthetic_geological_survey
126,Mine_00126,Marble,0.814,0.38,0.734,2.2,155.58,synthetic_geological_survey
127,Mine_00127,Sand,0.339,0.905,0.475,4.73,55.39,synthetic_geological_survey
128,Mine_00128,Limestone,0.56,0.467,0.505,1.05,169.87,synthetic_geological_survey
129,Mine_00129,Iron Ore,0.574,0.328,0.398,1.45,34.28,synthetic_geological_survey
130,Mine_00130,Marble,0.898,0.419,0.676,2.28,53.41,synthetic_geological_survey
131,Mine_00131,Granite,0.803,0.301,0.754,4.03,92.24,synthetic_geological_survey
132,Mine_00132,Sand,0.336,0.896,0.251,2.76,115.48,synthetic_geological_survey
133,Mine_00133,Sandstone,0.496,0.595,0.459,1.98,157.65,synthetic_geological_survey
134,Mine_00134,Sand,0.319,0.852,0.724,4.17,85.59,synthetic_geological_survey
135,Mine_00135,Silica Sand,0.431,0.754,0.393,3.23,150.31,synthetic_geological_survey
136,Mine_00136,Granite,0.857,0.321,0.414,2.79,87.96,synthetic_geological_survey
137,Mine_00137,Iron Ore,0.783,0.447,0.729,1.03,143.84,synthetic_geological_survey
138,Mine_00138,Iron Ore,0.775,0.443,0.751,3.98,156.81,synthetic_geological_survey
139,Mine_00139,Salt,0.934,0.208,0.347,1.0,37.85,synthetic_geological_survey
140,Mine_00140,Sand,0.262,0.698,0.694,1.94,147.66,synthetic_geological_survey
141,Mine_00141,Silica Sand,0.382,0.669,0.76,3.01,186.97,synthetic_geological_survey
142,Mine_00142,Sand,0.289,0.77,0.756,0.63,91.26,synthetic_geological_survey
143,Mine_00143,Marble,0.862,0.402,0.749,3.68,39.88,synthetic_geological_survey
144,Mine_00144,Iron Ore,0.793,0.453,0.276,4.97,147.29,synthetic_geological_survey
145,Mine_00145,Granite,0.935,0.351,0.276,3.51,198.08,synthetic_geological_survey
146,Mine_00146,Salt,0.941,0.209,0.34,3.95,143.37,synthetic_geological_survey
147,Mine_00147,Limestone,0.693,0.577,0.222,4.54,109.01,synthetic_geological_survey
148,Mine_00148,Marble,0.787,0.367,0.336,3.76,68.33,synthetic_geological_survey
149,Mine_00149,Limestone,0.693,0.577,0.381,3.47,36.49,synthetic_geological_survey
150,Mine_00150,Sand,0.285,0.761,0.351,2.51,177.94,synthetic_geological_survey
151,Mine_00151,Salt,0.817,0.182,0.694,4.48,71.99,synthetic_geological_survey
152,Mine_00152,Silica Sand,0.334,0.584,0.299,1.84,90.78,synthetic_geological_survey
153,Mine_00153,Silica Sand,0.388,0.679,0.725,0.59,81.77,synthetic_geological_survey
154,Mine_00154,Sand,0.268,0.714,0.257,4.93,57.94,synthetic_geological_survey
155,Mine_00155,Limestone,0.674,0.562,0.602,3.14,45.7,synthetic_geological_survey
156,Mine_00156,Silica Sand,0.363,0.636,0.386,2.06,30.35,synthetic_geological_survey
157,Mine_00157,Iron Ore,0.649,0.371,0.685,1.13,183.5,synthetic_geological_survey
158,Mine_00158,Sandstone,0.418,0.502,0.435,4.25,36.37,synthetic_geological_survey
159,Mine_00159,Sandstone,0.467,0.56,0.674,4.49,175.29,synthetic_geological_survey
160,Mine_00160,Granite,0.959,0.36,0.409,2.56,47.16,synthetic_geological_survey
161,Mine_00161,Silica Sand,0.441,0.772,0.346,1.1,134.8,synthetic_geological_survey
162,Mine_00162,Iron Ore,0.566,0.324,0.391,1.41,30.34,synthetic_geological_survey
163,Mine_00163,Limestone,0.586,0.488,0.287,2.59,197.28,synthetic_geological_survey
164,Mine_00164,Iron Ore,0.615,0.351,0.342,2.99,84.95,synthetic_geological_survey
165,Mine_00165,Sand,0.352,0.939,0.498,0.54,24.48,synthetic_geological_survey
166,Mine_00166,Silica Sand,0.427,0.746,0.4,1.59,29.67,synthetic_geological_survey
167,Mine_00167,Limestone,0.608,0.507,0.209,3.7,174.79,synthetic_geological_survey
168,Mine_00168,Marble,0.759,0.354,0.637,1.62,22.79,synthetic_geological_survey
169,Mine_00169,Sand,0.333,0.887,0.688,2.31,28.74,synthetic_geological_survey
170,Mine_00170,Marble,0.746,0.348,0.519,0.52,96.74,synthetic_geological_survey
171,Mine_00171,Limestone,0.702,0.585,0.591,2.4,170.38,synthetic_geological_survey
172,Mine_00172,Silica Sand,0.42,0.734,0.377,1.71,25.94,synthetic_geological_survey
173,Mine_00173,Salt,1.024,0.227,0.286,4.13,36.38,synthetic_geological_survey
174,Mine_00174,Limestone,0.601,0.501,0.327,3.92,160.79,synthetic_geological_survey
175,Mine_00175,Granite,0.937,0.351,0.479,2.0,92.83,synthetic_geological_survey
176,Mine_00176,Limestone,0.591,0.493,0.475,4.51,84.13,synthetic_geological_survey
177,Mine_00177,Granite,0.949,0.356,0.385,3.38,30.04,synthetic_geological_survey
178,Mine_00178,Silica Sand,0.423,0.74,0.457,3.01,123.52,synthetic_geological_survey
179,Mine_00179,Sandstone,0.403,0.484,0.202,3.96,176.3,synthetic_geological_survey
180,Mine_00180,Salt,1.073,0.238,0.464,2.32,28.89,synthetic_geological_survey
181,Mine_00181,Limestone,0.573,0.477,0.542,4.54,128.93,synthetic_geological_survey
182,Mine_00182,Salt,1.051,0.234,0.781,1.11,174.59,synthetic_geological_survey
183,Mine_00183,Salt,0.993,0.221,0.467,2.97,78.93,synthetic_geological_survey
184,Mine_00184,Granite,0.901,0.338,0.389,3.58,146.85,synthetic_geological_survey
185,Mine_00185,Granite,0.892,0.335,0.726,4.94,179.88,synthetic_geological_survey
186,Mine_00186,Iron Ore,0.758,0.433,0.782,0.77,102.49,synthetic_geological_survey
187,Mine_00187,Marble,0.776,0.362,0.674,2.83,35.48,synthetic_geological_survey
188,Mine_00188,Granite,0.72,0.27,0.272,4.12,176.21,synthetic_geological_survey
189,Mine_00189,Sand,0.284,0.757,0.658,3.76,190.62,synthetic_geological_survey
190,Mine_00190,Granite,0.882,0.331,0.327,1.99,168.44,synthetic_geological_survey
191,Mine_00191,Salt,0.968,0.215,0.638,2.55,140.5,synthetic_geological_survey
192,Mine_00192,Sand,0.35,0.933,0.248,2.73,76.35,synthetic_geological_survey
193,Mine_00193,Sand,0.254,0.677,0.775,1.37,172.31,synthetic_geological_survey
194,Mine_00194,Silica Sand,0.37,0.648,0.652,4.2,76.95,synthetic_geological_survey
195,Mine_00195,Iron Ore,0.835,0.477,0.453,1.51,149.01,synthetic_geological_survey
196,Mine_00196,Marble,0.634,0.296,0.352,3.72,74.26,synthetic_geological_survey
197,Mine_00197,Marble,0.9,0.42,0.212,4.23,191.77,synthetic_geological_survey
198,Mine_00198,Sandstone,0.438,0.526,0.66,2.66,96.33,synthetic_geological_survey
199,Mine_00199,Sandstone,0.519,0.623,0.298,3.29,121.52,synthetic_geological_survey
200,Mine_00200,Silica Sand,0.474,0.83,0.768,2.13,155.6,synthetic_geological_survey
201,Mine_00201,Sandstone,0.427,0.513,0.437,1.2,181.04,synthetic_geological_survey
202,Mine_00202,Granite,0.84,0.315,0.746,2.55,82.06,synthetic_geological_survey
203,Mine_00203,Marble,0.722,0.337,0.459,1.1,74.03,synthetic_geological_survey
204,Mine_00204,Salt,0.802,0.178,0.314,1.04,32.08,synthetic_geological_survey
205,Mine_00205,Marble,0.81,0.378,0.692,1.11,127.0,synthetic_geological_survey
206,Mine_00206,Sandstone,0.477,0.572,0.24,2.21,49.35,synthetic_geological_survey
207,Mine_00207,Salt,0.829,0.184,0.371,2.14,132.16,synthetic_geological_survey
208,Mine_00208,Marble,0.738,0.345,0.557,1.33,42.39,synthetic_geological_survey
209,Mine_00209,Salt,0.854,0.19,0.241,3.22,59.9,synthetic_geological_survey
210,Mine_00210,Marble,0.878,0.41,0.651,2.87,122.3,synthetic_geological_survey
211,Mine_00211,Iron Ore,0.824,0.471,0.378,4.22,35.38,synthetic_geological_survey
212,Mine_00212,Iron Ore,0.587,0.335,0.593,2.25,91.07,synthetic_geological_survey
213,Mine_00213,Salt,0.992,0.221,0.791,0.64,35.55,synthetic_geological_survey
214,Mine_00214,Sandstone,0.562,0.675,0.437,4.78,101.37,synthetic_geological_survey
215,Mine_00215,Salt,1.064,0.236,0.789,0.76,71.11,synthetic_geological_survey
216,Mine_00216,Salt,0.753,0.167,0.276,3.5,92.16,synthetic_geological_survey
217,Mine_00217,Sandstone,0.512,0.615,0.338,1.6,66.57,synthetic_geological_survey
218,Mine_00218,Sandstone,0.482,0.579,0.415,2.76,28.92,synthetic_geological_survey
219,Mine_00219,Salt,1.05,0.233,0.772,4.16,120.05,synthetic_geological_survey
220,Mine_00220,Sandstone,0.453,0.544,0.246,1.76,45.71,synthetic_geological_survey
221,Mine_00221,Granite,0.939,0.352,0.723,2.65,54.94,synthetic_geological_survey
222,Mine_00222,Salt,1.072,0.238,0.25,3.5,164.37,synthetic_geological_survey
223,Mine_00223,Silica Sand,0.388,0.679,0.203,3.6,186.39,synthetic_geological_survey
224,Mine_00224,Iron Ore,0.759,0.434,0.504,1.27,80.18,synthetic_geological_survey
225,Mine_00225,Limestone,0.686,0.572,0.638,3.96,149.52,synthetic_geological_survey
226,Mine_00226,Sandstone,0.485,0.582,0.372,2.24,74.46,synthetic_geological_survey
227,Mine_00227,Iron Ore,0.647,0.37,0.499,1.1,73.04,synthetic_geological_survey
228,Mine_00228,Iron Ore,0.813,0.464,0.8,2.82,196.46,synthetic_geological_survey
229,Mine_00229,Salt,0.935,0.208,0.305,1.23,56.95,synthetic_geological_survey
230,Mine_00230,Silica Sand,0.476,0.832,0.314,2.36,85.28,synthetic_geological_survey
231,Mine_00231,Silica Sand,0.35,0.612,0.722,3.94,136.64,synthetic_geological_survey
232,Mine_00232,Sand,0.318,0.849,0.24,2.11,23.03,synthetic_geological_survey
233,Mine_00233,Sand,0.337,0.9,0.734,2.23,129.41,synthetic_geological_survey
234,Mine_00234,Sand,0.351,0.936,0.617,0.76,32.55,synthetic_geological_survey
235,Mine_00235,Sandstone,0.542,0.651,0.768,2.99,33.94,synthetic_geological_survey
236,Mine_00236,Sand,0.326,0.869,0.665,4.59,42.39,synthetic_geological_survey
237,Mine_00237,Salt,0.868,0.193,0.508,4.47,96.25,synthetic_geological_survey
238,Mine_00238,Silica Sand,0.332,0.581,0.56,3.01,21.61,synthetic_geological_survey
239,Mine_00239,Granite,0.955,0.358,0.322,2.97,101.27,synthetic_geological_survey
240,Mine_00240,Salt,0.743,0.165,0.635,1.75,137.59,synthetic_geological_survey
241,Mine_00241,Salt,1.035,0.23,0.21,1.8,76.04,synthetic_geological_survey
242,Mine_00242,Sandstone,0.528,0.633,0.264,3.84,140.01,synthetic_geological_survey
243,Mine_00243,Limestone,0.625,0.521,0.315,0.67,138.92,synthetic_geological_survey
244,Mine_00244,Sandstone,0.428,0.513,0.71,5.0,188.43,synthetic_geological_survey
245,Mine_00245,Limestone,0.565,0.471,0.339,2.32,184.81,synthetic_geological_survey
246,Mine_00246,Iron Ore,0.769,0.439,0.331,2.9,199.78,synthetic_geological_survey
247,Mine_00247,Sand,0.356,0.949,0.683,3.51,185.67,synthetic_geological_survey
248,Mine_00248,Sandstone,0.552,0.662,0.531,4.4,98.54,synthetic_geological_survey
249,Mine_00249,Salt,0.887,0.197,0.656,0.63,188.01,synthetic_geological_survey
250,Mine_00250,Limestone,0.603,0.502,0.719,1.58,46.51,synthetic_geological_survey
251,Mine_00251,Iron Ore,0.783,0.447,0.637,2.97,113.32,synthetic_geological_survey
252,Mine_00252,Granite,0.849,0.318,0.317,4.79,179.52,synthetic_geological_survey
253,Mine_00253,Marble,0.616,0.288,0.353,1.84,46.89,synthetic_geological_survey
254,Mine_00254,Marble,0.635,0.296,0.268,3.63,149.05,synthetic_geological_survey
255,Mine_00255,Silica Sand,0.38,0.665,0.544,3.98,128.54,synthetic_geological_survey
256,Mine_00256,Sandstone,0.572,0.687,0.425,2.28,50.95,synthetic_geological_survey
257,Mine_00257,Salt,0.939,0.209,0.352,1.15,188.57,synthetic_geological_survey
258,Mine_00258,Sandstone,0.469,0.562,0.521,1.16,36.16,synthetic_geological_survey
259,Mine_00259,Salt,0.836,0.186,0.657,0.85,172.88,synthetic_geological_survey
260,Mine_00260,Iron Ore,0.687,0.393,0.438,3.85,188.39,synthetic_geological_survey
261,Mine_00261,Sand,0.262,0.699,0.545,4.5,176.18,synthetic_geological_survey
262,Mine_00262,Sandstone,0.415,0.498,0.333,2.2,192.53,synthetic_geological_survey
263,Mine_00263,Marble,0.649,0.303,0.46,4.8,101.34,synthetic_geological_survey
264,Mine_00264,Sand,0.35,0.932,0.209,1.08,134.64,synthetic_geological_survey
265,Mine_00265,Sand,0.272,0.725,0.335,1.42,124.51,synthetic_geological_survey
266,Mine_00266,Sand,0.345,0.921,0.535,4.76,166.46,synthetic_geological_survey
267,Mine_00267,Sandstone,0.534,0.64,0.274,1.29,21.22,synthetic_geological_survey
268,Mine_00268,Sandstone,0.481,0.577,0.273,1.88,113.45,synthetic_geological_survey
269,Mine_00269,Sand,0.27,0.72,0.711,3.41,124.8,synthetic_geological_survey
270,Mine_00270,Marble,0.784,0.366,0.772,0.56,131.7,synthetic_geological_survey
271,Mine_00271,Sand,0.306,0.815,0.663,1.75,199.01,synthetic_geological_survey
272,Mine_00272,Granite,0.892,0.334,0.644,2.0,45.83,synthetic_geological_survey
273,Mine_00273,Limestone,0.696,0.58,0.577,3.94,191.68,synthetic_geological_survey
274,Mine_00274,Marble,0.627,0.293,0.581,4.63,38.26,synthetic_geological_survey
275,Mine_00275,Granite,0.648,0.243,0.618,1.52,52.35,synthetic_geological_survey
276,Mine_00276,Granite,0.93,0.349,0.345,4.56,63.18,synthetic_geological_survey
277,Mine_00277,Iron Ore,0.573,0.327,0.321,0.76,87.71,synthetic_geological_survey
278,Mine_00278,Limestone,0.505,0.421,0.585,1.1,158.14,synthetic_geological_survey
279,Mine_00279,Granite,0.695,0.261,0.334,2.64,195.15,synthetic_geological_survey
280,Mine_00280,Marble,0.721,0.337,0.716,0.98,181.31,synthetic_geological_survey
281,Mine_00281,Limestone,0.621,0.517,0.778,4.53,173.38,synthetic_geological_survey
282,Mine_00282,Iron Ore,0.714,0.408,0.663,1.11,86.05,synthetic_geological_survey
283,Mine_00283,Sandstone,0.514,0.617,0.56,3.54,175.95,synthetic_geological_survey
284,Mine_00284,Sand,0.28,0.748,0.207,3.97,119.16,synthetic_geological_survey
285,Mine_00285,Sand,0.35,0.932,0.737,4.83,135.43,synthetic_geological_survey
286,Mine_00286,Sand,0.321,0.857,0.71,2.56,160.85,synthetic_geological_survey
287,Mine_00287,Salt,0.723,0.161,0.21,2.95,28.31,synthetic_geological_survey
288,Mine_00288,Salt,0.929,0.206,0.584,4.87,84.07,synthetic_geological_survey
289,Mine_00289,Sand,0.329,0.877,0.475,2.67,158.15,synthetic_geological_survey
290,Mine_00290,Limestone,0.506,0.422,0.525,3.9,60.46,synthetic_geological_survey
291,Mine_00291,Marble,0.864,0.403,0.405,4.28,146.3,synthetic_geological_survey
292,Mine_00292,Limestone,0.494,0.412,0.686,0.75,121.27,synthetic_geological_survey
293,Mine_00293,Salt,0.723,0.161,0.554,1.49,169.3,synthetic_geological_survey
294,Mine_00294,Marble,0.884,0.412,0.75,4.65,119.16,synthetic_geological_survey
295,Mine_00295,Sand,0.298,0.795,0.417,1.45,21.81,synthetic_geological_survey
296,Mine_00296,Silica Sand,0.371,0.65,0.712,1.6,55.94,synthetic_geological_survey
297,Mine_00297,Granite,0.955,0.358,0.309,4.91,130.99,synthetic_geological_survey
298,Mine_00298,Sand,0.313,0.835,0.309,3.25,67.37,synthetic_geological_survey
299,Mine_00299,Iron Ore,0.619,0.354,0.481,2.11,152.53,synthetic_geological_survey
300,Mine_00300,Salt,0.86,0.191,0.591,1.54,149.73,synthetic_geological_survey
301,Mine_00301,Granite,0.958,0.359,0.492,4.63,35.67,synthetic_geological_survey
302,Mine_00302,Marble,0.88,0.41,0.343,2.21,71.28,synthetic_geological_survey
303,Mine_00303,Salt,0.772,0.172,0.295,0.85,93.66,synthetic_geological_survey
304,Mine_00304,Limestone,0.687,0.572,0.792,2.72,86.88,synthetic_geological_survey
305,Mine_00305,Salt,0.774,0.172,0.554,2.21,85.7,synthetic_geological_survey
306,Mine_00306,Granite,0.776,0.291,0.751,1.05,168.87,synthetic_geological_survey
307,Mine_00307,Granite,0.91,0.341,0.617,1.78,103.29,synthetic_geological_survey
308,Mine_00308,Salt,0.748,0.166,0.544,1.87,51.48,synthetic_geological_survey
