mine_id,mine_name,district,mineral_type,lease_area_ha,latitude,longitude,status,avg_rainfall_mm,max_rainfall_mm,rainfall_variability,avg_temp_c,max_avg_temp_c,min_avg_temp_c,extreme_max_temp_c,extreme_min_temp_c,elevation_m,slope_degrees,aspect_degrees,terrain_ruggedness_index,rock_stability_index,fracture_density,weathering_index,joint_spacing_m,ucs_mpa,rainfall_intensity,temperature_stress,slope_risk_factor,geological_risk,environmental_risk_score
40,Mine_00040,Dharmapuri,Salt,43.57,8.027839,76.723636,Active,89.78,189.03,61.02,24.94,31.19,16.09,37.64,10.01,1324.41,19.3,324.39,6.46,0.763,0.17,0.21,2.95,190.07,2.105480062374694,2.7630000000000003,0.42888888888888893,0.04029,0.859
41,Mine_00041,Erode,Limestone,42.22,9.233481,79.204806,Active,112.81,259.66,82.21,24.84,31.26,16.55,39.59,11.61,689.98,15.5,3.63,8.21,0.57,0.475,0.212,2.45,79.12,2.3017462990869606,2.7980000000000005,0.34444444444444444,0.20425000000000001,0.926
42,Mine_00042,Krishnagiri,Silica Sand,54.89,11.572981,79.821505,Active,245.93,451.66,176.85,23.54,30.49,16.98,37.53,8.6,654.87,5.02,153.66,6.33,0.351,0.614,0.254,3.58,32.06,1.8365388525190096,2.893,0.11155555555555555,0.398486,0.835
43,Mine_00043,Coimbatore,Salt,3.93,10.022437,77.193411,Active,159.47,337.95,125.15,24.32,31.15,15.71,39.16,10.26,308.37,4.94,15.86,2.22,0.907,0.202,0.216,3.99,91.61,2.119207374427792,2.8899999999999997,0.10977777777777778,0.018785999999999997,0.773
44,Mine_00044,Tuticorin,Silica Sand,19.98,12.906256,78.840124,Closed,207.52,437.74,134.41,23.07,30.93,16.12,37.91,7.89,859.23,23.02,5.5,8.33,0.324,0.568,0.338,2.46,109.84,2.1093870470316114,3.002,0.5115555555555555,0.3839679999999999,1.025
45,Mine_00045,Salem,Sandstone,34.41,10.708847,76.878593,Active,181.71,360.55,122.23,24.13,31.12,16.62,38.43,8.7,1071.46,44.13,188.16,17.28,0.417,0.501,0.358,3.76,37.81,1.9842056023333883,2.973,0.9806666666666667,0.292083,1.112
46,Mine_00046,Kanyakumari,Iron Ore,58.54,8.239821,80.475477,Active,83.69,200.39,67.04,25.59,31.89,18.23,36.72,11.48,506.49,18.14,113.13,8.01,0.65,0.372,0.542,1.69,111.94,2.394431831760067,2.524,0.40311111111111114,0.13019999999999998,0.945
47,Mine_00047,Tuticorin,Sandstone,55.09,13.241895,77.488376,Active,233.76,478.38,169.1,23.27,31.28,15.8,38.32,8.65,1606.38,23.69,136.46,7.25,0.446,0.535,0.431,3.38,93.54,2.046457905544148,2.967,0.5264444444444445,0.29639000000000004,0.996
48,Mine_00048,Tuticorin,Sandstone,157.15,8.414404,77.375637,Active,100.98,216.1,75.51,24.85,32.1,16.53,40.28,9.94,426.87,14.06,78.42,5.51,0.493,0.592,0.642,3.46,178.19,2.1400277282630222,3.0340000000000003,0.31244444444444447,0.30014399999999997,0.979
49,Mine_00049,Krishnagiri,Salt,18.65,10.170803,79.798959,Active,155.18,335.17,113.27,24.92,32.16,17.68,39.29,11.32,562.24,12.49,85.33,6.95,0.954,0.212,0.653,1.12,151.14,2.159878850367315,2.7969999999999997,0.27755555555555556,0.009752000000000009,0.863
50,Mine_00050,Dharmapuri,Salt,9.37,11.691289,77.613911,Active,166.44,314.23,99.12,22.93,30.82,14.57,39.05,8.4,1107.44,24.62,275.73,8.59,0.74,0.164,0.635,2.52,38.16,1.8879476087478972,3.065,0.5471111111111111,0.042640000000000004,0.925
51,Mine_00051,Dindigul,Limestone,75.53,8.751417,79.190099,Active,103.4,217.87,72.56,25.23,31.8,16.55,40.08,9.76,260.76,7.39,216.92,6.64,0.535,0.446,0.772,2.67,71.55,2.1070599613152803,3.032,0.16422222222222221,0.20739,0.913
52,Mine_00052,Perambalur,Sandstone,21.77,9.409138,78.751812,Active,108.13,275.25,74.69,24.85,31.18,17.21,39.4,10.66,412.1,12.64,168.47,8.25,0.465,0.558,0.262,0.99,161.12,2.5455470267270877,2.8739999999999997,0.2808888888888889,0.29852999999999996,0.997
53,Mine_00053,Perambalur,Granite,8.64,8.390175,77.785527,Active,93.28,196.18,66.25,25.06,31.84,16.15,40.01,10.42,574.32,18.04,119.9,7.83,0.859,0.322,0.643,4.45,106.88,2.103130360205832,2.9589999999999996,0.40088888888888885,0.045402000000000005,0.915
54,Mine_00054,Tuticorin,Marble,1.12,11.183757,77.973134,Active,194.27,379.77,135.54,23.94,31.09,16.11,37.47,9.53,1516.97,36.31,259.22,13.24,0.802,0.374,0.668,0.76,27.09,1.9548566428166982,2.7939999999999996,0.806888888888889,0.07405199999999998,1.001
55,Mine_00055,Namakkal,Granite,160.34,12.614134,79.871821,Active,217.3,472.9,163.84,22.93,29.69,15.59,33.99,8.28,275.35,3.18,314.69,4.41,0.764,0.287,0.656,0.69,74.14,2.1762540266912103,2.571,0.07066666666666667,0.06773199999999999,0.799
56,Mine_00056,Coimbatore,Marble,14.45,10.953953,77.469931,Active,193.24,372.9,140.68,23.57,29.58,15.24,36.78,8.56,609.69,18.31,340.86,6.94,0.652,0.304,0.348,1.32,55.97,1.9297246946801903,2.822,0.40688888888888886,0.10579199999999998,0.857
57,Mine_00057,Ariyalur,Sandstone,134.39,10.514958,79.789104,Active,162.82,331.78,122.12,24.27,30.62,17.48,38.73,11.93,594.62,5.07,353.55,2.23,0.572,0.686,0.432,2.77,196.35,2.037710354993244,2.6799999999999997,0.11266666666666668,0.29360800000000004,0.841
58,Mine_00058,Tiruppur,Silica Sand,40.58,11.993502,80.391334,Active,150.72,281.2,92.54,23.46,31.2,16.41,37.89,8.06,929.49,7.26,71.85,4.95,0.332,0.581,0.528,2.82,167.23,1.8657112526539277,2.9829999999999997,0.16133333333333333,0.38810799999999995,0.889
59,Mine_00059,Dindigul,Silica Sand,20.35,10.384364,79.348192,Active,169.25,359.59,120.28,25.08,32.74,17.71,38.82,10.45,277.73,0.22,4.11,4.75,0.348,0.609,0.255,3.46,52.28,2.1246085672082717,2.837,0.004888888888888889,0.39706800000000003,0.855
60,Mine_00060,Tiruvannamalai,Limestone,72.31,11.827858,77.840288,Closed,202.23,467.31,161.47,23.71,31.3,16.31,38.56,9.34,1874.47,24.16,122.23,11.1,0.712,0.593,0.706,4.46,123.05,2.3107847500370866,2.922,0.5368888888888889,0.17078400000000002,1.037
61,Mine_00061,Krishnagiri,Sand,31.87,11.930278,78.970888,Active,239.2,458.71,163.47,22.94,30.31,16.12,36.28,11.3,458.74,12.77,200.08,4.6,0.276,0.736,0.672,3.1,85.7,1.9176839464882942,2.498,0.2837777777777778,0.532864,0.946
62,Mine_00062,Krishnagiri,Salt,42.81,10.396201,79.285177,Active,160.55,342.44,119.41,24.3,30.47,17.56,37.7,11.11,750.16,17.93,126.11,5.38,0.931,0.207,0.676,1.18,38.69,2.132918094051697,2.6590000000000003,0.39844444444444443,0.014282999999999988,0.884
63,Mine_00063,Dharmapuri,Marble,6.91,8.660906,77.538459,Active,120.21,230.15,94.38,25.42,33.47,16.39,40.05,10.03,268.41,9.23,27.01,5.97,0.608,0.284,0.545,0.67,178.99,1.9145661758589136,3.002,0.20511111111111113,0.111328,0.833
64,Mine_00064,Tiruvannamalai,Sand,77.37,11.870118,78.133782,Active,220.91,414.25,155.84,23.89,31.61,16.33,38.46,9.12,594.28,24.94,291.84,9.5,0.297,0.791,0.326,2.48,100.58,1.875198044452492,2.934,0.5542222222222223,0.556073,1.034
65,Mine_00065,Kanyakumari,Sandstone,7.61,10.386184,77.793271,Active,155.58,354.39,112.21,24.74,32.43,16.65,39.22,9.06,881.45,16.97,121.68,7.82,0.557,0.669,0.582,3.98,123.1,2.2778634785962204,3.0159999999999996,0.37711111111111106,0.296367,1.017
66,Mine_00066,Dindigul,Silica Sand,1.85,10.060369,78.81637,Active,128.68,239.28,78.16,24.25,31.83,15.92,39.05,9.91,403.42,6.4,337.21,2.32,0.404,0.708,0.667,4.59,101.11,1.8594964252409076,2.9139999999999997,0.14222222222222222,0.42196799999999995,0.899
67,Mine_00067,Krishnagiri,Salt,7.11,8.388128,78.890887,Active,101.94,208.64,78.74,25.23,30.56,18.78,36.17,11.77,473.87,2.85,199.44,1.58,0.749,0.166,0.585,0.53,22.15,2.0466941338041984,2.4400000000000004,0.06333333333333334,0.041666,0.743
68,Mine_00068,Coimbatore,Marble,112.69,11.165108,77.746765,Active,158.89,395.93,113.06,23.86,31.91,15.21,39.38,8.87,2074.75,25.61,41.86,10.19,0.825,0.385,0.281,4.64,109.29,2.4918497073447043,3.0510000000000006,0.5691111111111111,0.06737500000000002,1.023
69,Mine_00069,Krishnagiri,Granite,68.73,11.442668,79.691921,Active,213.13,410.08,148.07,23.34,30.24,15.93,36.22,9.77,290.18,3.67,353.84,2.98,0.831,0.312,0.489,1.81,40.84,1.924083892460001,2.645,0.08155555555555555,0.05272800000000001,0.739
70,Mine_00070,Ariyalur,Limestone,12.81,9.18024,77.697666,Active,105.91,232.08,79.31,24.76,32.05,17.07,38.27,9.94,386.22,11.37,312.84,6.16,0.653,0.544,0.272,2.94,111.95,2.1912944953262206,2.8330000000000006,0.25266666666666665,0.188768,0.881
71,Mine_00071,Namakkal,Limestone,2.95,9.754366,79.801939,Active,133.52,274.4,95.45,24.46,32.32,17.66,39.93,10.97,490.83,13.21,259.95,5.95,0.652,0.543,0.599,2.77,173.23,2.0551228280407425,2.896,0.29355555555555557,0.188964,0.905
72,Mine_00072,Salem,Iron Ore,5.03,11.832054,78.830243,Active,209.5,434.22,149.34,23.73,29.97,16.92,37.34,10.16,908.07,9.39,89.81,3.6,0.703,0.402,0.291,2.1,69.43,2.0726491646778045,2.7180000000000004,0.20866666666666667,0.11939400000000003,0.814
73,Mine_00073,Vellore,Granite,13.25,8.975917,79.377766,Active,114.75,240.57,83.55,25.13,30.97,18.5,36.43,11.8,511.71,21.66,79.36,7.04,0.777,0.291,0.767,0.88,199.44,2.096470588235294,2.463,0.48133333333333334,0.06489299999999999,0.906
74,Mine_00074,Dharmapuri,Granite,5.46,9.37509,78.612448,Active,125.29,243.52,89.13,24.82,31.84,18.77,38.31,11.73,903.13,7.03,41.3,4.9,0.949,0.356,0.31,1.24,74.36,1.9436507303056907,2.6580000000000004,0.15622222222222223,0.018156000000000016,0.738
75,Mine_00075,Tiruvannamalai,Marble,55.59,12.149986,76.464057,Active,201.96,469.45,151.32,23.23,31.23,15.0,38.65,8.31,721.69,21.81,190.85,7.87,0.728,0.34,0.771,3.49,173.05,2.324470192117251,3.034,0.48466666666666663,0.09248,1.019
76,Mine_00076,Coimbatore,Granite,70.05,9.760273,80.029855,Active,131.29,311.11,105.19,24.13,30.0,16.63,35.31,9.39,855.1,5.27,243.52,3.29,0.856,0.321,0.454,3.82,156.85,2.3696397288445428,2.592,0.1171111111111111,0.04622400000000001,0.828
77,Mine_00077,Coimbatore,Marble,94.32,8.502077,77.436911,Active,97.43,182.74,66.45,25.66,32.91,18.34,40.03,10.86,553.04,10.07,16.25,3.58,0.789,0.368,0.782,2.42,32.57,1.875602997023504,2.9170000000000003,0.2237777777777778,0.07764799999999998,0.835
78,Mine_00078,Tuticorin,Sand,34.08,11.475105,78.018005,Closed,171.05,274.34,108.9,24.03,31.74,15.97,38.96,8.9,394.8,13.81,88.95,4.72,0.298,0.796,0.597,3.89,179.93,1.6038585209003213,3.0060000000000002,0.3068888888888889,0.558792,0.941
79,Mine_00079,Dharmapuri,Marble,44.65,12.13806,79.562106,Active,191.43,451.44,147.68,23.31,30.11,14.43,37.78,8.48,297.05,12.75,278.65,8.21,0.816,0.381,0.653,5.0,193.37,2.3582510578279265,2.93,0.2833333333333333,0.07010400000000003,0.936
80,Mine_00080,Perambalur,Sandstone,146.37,13.477622,76.25142,Closed,259.9,538.6,196.39,22.98,31.38,16.2,37.88,7.49,1173.2,18.3,249.66,9.55,0.546,0.655,0.652,0.55,67.71,2.0723355136591,3.039,0.4066666666666667,0.29736999999999997,0.995
81,Mine_00081,Dharmapuri,Sand,48.94,13.327586,79.096135,Active,265.56,465.54,172.45,22.63,29.61,15.16,36.1,8.52,350.35,9.4,340.43,6.22,0.276,0.737,0.693,3.34,145.55,1.753050158156349,2.758,0.2088888888888889,0.533588,0.918
82,Mine_00082,Theni,Granite,3.51,11.85533,76.327434,Active,190.74,437.61,141.29,23.95,31.47,16.29,38.5,8.28,733.85,22.67,186.08,11.62,0.807,0.303,0.635,4.34,23.42,2.2942749292230262,3.022,0.5037777777777778,0.05847899999999998,0.993
83,Mine_00083,Erode,Iron Ore,3.39,8.466607,80.439878,Active,106.6,210.65,77.01,25.44,33.75,17.31,40.43,11.55,521.23,24.17,163.75,8.23,0.781,0.446,0.717,0.57,117.93,1.9760787992495312,2.888,0.5371111111111111,0.09767399999999998,0.946
84,Mine_00084,Kanyakumari,Sandstone,67.02,13.209867,80.437005,Active,258.47,509.73,172.16,22.92,31.14,15.48,37.79,9.25,418.42,8.05,210.15,7.04,0.503,0.604,0.372,3.51,112.01,1.9721050798932176,2.854,0.1788888888888889,0.300188,0.861
85,Mine_00085,Vellore,Marble,3.49,12.274308,78.512819,Active,236.74,469.18,165.66,23.5,29.31,15.19,34.72,8.35,355.07,4.75,208.58,4.02,0.709,0.331,0.699,2.7,58.14,1.9818366140069275,2.6369999999999996,0.10555555555555556,0.09632100000000002,0.791
86,Mine_00086,Dindigul,Limestone,22.8,9.395252,77.823409,Active,129.02,286.37,100.95,24.54,31.18,17.54,37.52,9.61,442.93,0.53,333.02,1.35,0.559,0.466,0.477,3.5,131.16,2.2195783599441947,2.7910000000000004,0.011777777777777778,0.205506,0.836
87,Mine_00087,Tiruppur,Marble,69.22,12.093164,79.064677,Active,188.34,372.81,123.5,23.99,31.9,17.42,38.84,10.49,312.16,6.85,358.44,4.78,0.735,0.343,0.349,0.93,108.28,1.9794520547945205,2.835,0.1522222222222222,0.09089500000000002,0.787
88,Mine_00088,Coimbatore,Granite,10.12,13.297724,76.054695,Active,210.4,408.13,140.39,23.31,30.64,15.8,37.84,10.32,1320.51,44.67,298.0,16.4,0.656,0.246,0.421,3.57,42.17,1.9397813688212926,2.7520000000000002,0.9926666666666667,0.08462399999999999,1.028
89,Mine_00089,Virudhunagar,Sandstone,1.77,13.085538,80.136021,Active,264.38,544.6,193.08,22.33,29.46,13.95,36.74,7.6,924.64,17.35,190.14,7.84,0.425,0.51,0.627,4.67,94.33,2.0599137604962556,2.914,0.3855555555555556,0.29324999999999996,0.97
90,Mine_00090,Vellore,Iron Ore,3.14,8.914185,76.975641,Active,102.97,243.94,78.96,24.7,30.92,16.03,39.29,9.95,894.74,7.32,316.88,5.25,0.625,0.357,0.269,1.12,93.97,2.369039526075556,2.934,0.16266666666666668,0.133875,0.883
91,Mine_00091,Tirunelveli,Sand,47.75,10.11311,79.316953,Closed,150.46,333.67,107.74,23.77,31.55,15.54,39.54,9.31,535.82,9.81,26.97,3.12,0.355,0.947,0.618,0.88,188.23,2.2176658248039347,3.0229999999999997,0.218,0.610815,1.056
92,Mine_00092,Madurai,Marble,2.38,10.16987,76.480402,Closed,172.96,342.6,126.19,24.19,32.68,16.35,39.22,8.95,637.87,13.02,212.95,8.5,0.803,0.375,0.609,1.25,26.1,1.9808048103607772,3.027,0.28933333333333333,0.07387499999999998,0.869
93,Mine_00093,Ariyalur,Limestone,24.92,9.943437,78.626453,Active,120.36,280.73,91.05,24.45,31.83,16.6,39.45,11.04,266.95,14.26,266.71,6.97,0.554,0.462,0.434,3.42,140.98,2.3324194084413428,2.841,0.3168888888888889,0.20605199999999999,0.951
94,Mine_00094,Tiruvannamalai,Granite,24.15,8.177738,77.258936,Active,90.48,176.87,66.23,25.15,31.92,18.23,39.28,10.39,660.06,12.01,308.79,5.92,0.86,0.323,0.742,0.89,126.91,1.9547966401414676,2.8890000000000002,0.2668888888888889,0.04522,0.848
95,Mine_00095,Tiruppur,Sandstone,7.1,13.0101,79.701418,Active,252.15,555.71,196.64,23.15,31.42,16.71,37.66,8.81,652.3,12.88,172.16,5.95,0.432,0.519,0.465,4.1,163.73,2.2038865754511203,2.8849999999999993,0.28622222222222227,0.29479200000000005,0.95
96,Mine_00096,Erode,Iron Ore,38.02,10.300337,80.197278,Active,166.86,312.29,117.34,24.16,30.75,16.27,38.94,9.02,994.48,20.29,30.74,6.14,0.772,0.441,0.567,0.55,35.24,1.8715689799832194,2.992,0.4508888888888889,0.100548,0.896
